"97","22","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"98","22","How is a search system used in work task completion?","Article","Journal of Information Science"
"99","22","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"100","22","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"101","23","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"102","23","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"103","23","How is a search system used in work task completion?","Article","Journal of Information Science"
"104","23","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"105","23","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"106","24","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"107","24","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"108","24","How is a search system used in work task completion?","Article","Journal of Information Science"
"109","24","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"110","24","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"111","25","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"112","25","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"113","25","How is a search system used in work task completion?","Article","Journal of Information Science"
"114","25","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"115","25","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"116","26","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"117","26","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"118","26","How is a search system used in work task completion?","Article","Journal of Information Science"
"119","26","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"120","26","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"121","27","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"122","27","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"123","27","How is a search system used in work task completion?","Article","Journal of Information Science"
"124","27","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"125","27","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"126","28","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"127","28","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"128","28","How is a search system used in work task completion?","Article","Journal of Information Science"
"129","28","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"130","28","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"131","29","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"132","29","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"133","29","How is a search system used in work task completion?","Article","Journal of Information Science"
"134","29","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"135","29","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"136","30","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"137","30","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"138","30","How is a search system used in work task completion?","Article","Journal of Information Science"
"139","30","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"140","30","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"141","31","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"142","31","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"143","31","How is a search system used in work task completion?","Article","Journal of Information Science"
"144","31","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"145","31","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"146","32","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"147","32","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"148","32","How is a search system used in work task completion?","Article","Journal of Information Science"
"149","32","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"150","32","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"151","33","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"152","33","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"153","33","How is a search system used in work task completion?","Article","Journal of Information Science"
"154","33","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"155","33","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"156","34","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"157","34","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"158","34","How is a search system used in work task completion?","Article","Journal of Information Science"
"159","34","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"160","34","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"161","36","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"162","36","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"163","36","How is a search system used in work task completion?","Article","Journal of Information Science"
"164","36","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"165","36","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"166","35","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"167","35","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"168","35","How is a search system used in work task completion?","Article","Journal of Information Science"
"169","35","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"170","35","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"171","37","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"172","37","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"173","37","How is a search system used in work task completion?","Article","Journal of Information Science"
"174","37","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"175","37","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"176","38","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"177","38","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"178","38","How is a search system used in work task completion?","Article","Journal of Information Science"
"179","38","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"180","38","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"181","39","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"182","39","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"183","39","How is a search system used in work task completion?","Article","Journal of Information Science"
"184","39","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"185","39","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"186","40","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"187","40","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"188","40","How is a search system used in work task completion?","Article","Journal of Information Science"
"189","40","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"190","40","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"191","41","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"192","41","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"193","41","How is a search system used in work task completion?","Article","Journal of Information Science"
"194","41","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"195","41","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"196","42","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"197","42","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"198","42","How is a search system used in work task completion?","Article","Journal of Information Science"
"199","42","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"200","42","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"201","43","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"202","43","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"203","43","How is a search system used in work task completion?","Article","Journal of Information Science"
"204","43","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"205","43","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"206","44","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"207","44","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"208","44","How is a search system used in work task completion?","Article","Journal of Information Science"
"209","44","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"210","44","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"211","45","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"212","45","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"213","45","How is a search system used in work task completion?","Article","Journal of Information Science"
"214","45","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"215","45","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"216","46","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"217","46","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"218","46","How is a search system used in work task completion?","Article","Journal of Information Science"
"219","46","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"220","46","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"221","47","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"222","47","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"223","47","How is a search system used in work task completion?","Article","Journal of Information Science"
"224","47","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"225","47","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"226","48","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"227","48","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"228","48","How is a search system used in work task completion?","Article","Journal of Information Science"
"229","48","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"230","48","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"231","49","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"232","49","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"233","49","How is a search system used in work task completion?","Article","Journal of Information Science"
"234","49","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"235","49","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"236","50","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"237","50","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"238","50","How is a search system used in work task completion?","Article","Journal of Information Science"
"239","50","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"240","50","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"241","51","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"242","51","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"243","51","How is a search system used in work task completion?","Article","Journal of Information Science"
"244","51","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"245","51","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"246","53","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"247","53","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"248","53","How is a search system used in work task completion?","Article","Journal of Information Science"
"249","53","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"250","53","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"251","52","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"252","52","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"253","52","How is a search system used in work task completion?","Article","Journal of Information Science"
"254","52","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"255","52","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"256","54","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"257","54","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"258","54","How is a search system used in work task completion?","Article","Journal of Information Science"
"259","54","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"260","54","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"261","55","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"262","55","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"263","55","How is a search system used in work task completion?","Article","Journal of Information Science"
"264","55","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"265","55","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"266","56","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"267","56","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"268","56","How is a search system used in work task completion?","Article","Journal of Information Science"
"269","56","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"270","56","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"271","56","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"272","56","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"273","56","How is a search system used in work task completion?","Article","Journal of Information Science"
"274","56","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"275","56","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"276","57","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"277","57","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"278","57","How is a search system used in work task completion?","Article","Journal of Information Science"
"279","57","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
